name,description,rarity,category,element,attack,defense,speed,utility,special_effect,prompt
朱鷺,新潟の象徴、特別天然記念物の朱鷺。その美しいピンクの羽根は見る者を魅了する。,legendary,creature,wind,70,60,95,85,スキル「再生の翼」: 味方全体のHP30%回復,朱鷺, 美しい鳥, ピンクの羽, 自然
佐渡金山,かつて日本最大の金山として栄えた佐渡金山。その歴史的価値は計り知れない。,legendary,location,earth,50,95,20,90,スキル「黄金の恵み」: コイン獲得量+50%,佐渡金山, 鉱山, 黄金, 歴史的建造物
八海山,越後三山の一つ、霊峰八海山。その雄大な姿は訪れる者に畏敬の念を抱かせる。,legendary,location,water,85,90,40,75,スキル「雪解けの奔流」: 水属性攻撃威力×1.5,八海山, 雪山, 雄大, 自然, 新潟
弥彦神社,越後一宮として千年以上の歴史を持つ霊験あらたかな古社。,legendary,location,light,75,95,50,90,スキル「神域の守護」: 味方全体の防御力+50%,弥彦神社, 神社, 鳥居, 森, 神聖
上杉謙信,越後の龍と称された戦国最強の武将。義を重んじ、毘沙門天の化身とも呼ばれた軍神。,legendary,other,light,99,85,90,80,スキル「車懸りの陣」: 敵全体に超強力攻撃,上杉謙信, 武将, 鎧, 刀, 戦国時代
直江兼続,上杉景勝を支えた名参謀。「愛」の兜で知られる義の武将。,epic,other,water,75,85,70,90,スキル「愛の義」: 味方全体のHP回復と防御UP,直江兼続, 武将, 愛, 兜, 戦国
新潟の日本酒,名水と良質な米から生まれる越後の日本酒。その芳醇な味わいは多くの人を魅了する。,epic,artifact,water,55,40,50,90,スキル「酔いどれ」: 敵に混乱付与,日本酒, 酒蔵, 新潟, 伝統
白山神社,新潟市の総鎮守として親しまれる由緒ある神社。縁結びのパワースポットとしても有名。,epic,location,light,60,85,55,80,スキル「縁結びの祈り」: 味方2体の連携攻撃確率+40%,白山神社, 神社, 新潟市
上杉景勝,上杉謙信の養子で後継者。寡黙だが義を重んじる武将。,epic,other,earth,80,85,65,75,スキル「上杉の誇り」: 味方の防御力+40%,上杉景勝, 武将, 鎧, 寡黙
コシヒカリ（南魚沼産）,日本一の米どころ南魚沼で育まれた最高級コシヒカリ。,epic,nature,earth,60,70,45,95,スキル「満腹」: HP完全回復,コシヒカリ, 米, ご飯, 田んぼ, 豊作
雲洞庵,上杉謙信や直江兼続が幼少期に学んだ歴史ある禅寺。,epic,location,earth,55,90,40,85,スキル「禅の境地」: MP完全回復,雲洞庵, 寺, 禅, 歴史
新潟の花火,日本三大花火大会の一つ。夜空を彩る大輪の花は圧巻の美しさ。,epic,other,fire,95,30,85,60,スキル「大爆発」: 敵全体に大ダメージ,花火, 夜空, 夏祭り, 新潟
燕三条の金属製品,世界に誇る金属加工技術。職人の技が生み出す逸品。,epic,artifact,earth,85,75,60,95,スキル「職人の技」: 装備強化,金属製品, カトラリー, 職人, 工場
長尾為景,上杉謙信の父。越後の統一に尽力した戦国武将。,epic,other,fire,85,75,60,65,スキル「越後統一」: 攻撃力+35%,長尾為景, 武将, 戦国, 鎧
居多神社,越後国一宮の一社。上杉謙信が戦勝祈願をした歴史ある神社。,epic,location,light,65,75,50,70,スキル「戦勝祈願」: 攻撃力+30%,居多神社, 神社, 上越
へぎそば,布海苔をつなぎに使った新潟名物。美しい盛り付けも特徴的。,epic,artifact,water,45,50,70,80,スキル「スタミナ回復」: スタミナ+50,へぎそば, そば, 新潟グルメ, 和食
笹団子,笹の葉で包まれた緑色のお餅。ヨモギの香りと餡の甘さが絶妙。,epic,artifact,nature,30,40,50,75,スキル「小休止」: HP+80,笹団子, 和菓子, 新潟, お土産
日本海の荒波,荒々しくも美しい日本海の波。冬の日本海は特に勇壮。,epic,nature,water,75,55,60,50,スキル「大波」: 敵全体に攻撃,日本海, 波, 冬, 海
越後の雪景色,一面の銀世界。豪雪地帯ならではの美しい雪景色。,epic,nature,water,35,50,35,60,スキル「吹雪」: 敵の速度-30%,雪景色, 新潟, 冬, 雪国
信濃川,日本一長い川、信濃川。新潟市街を悠々と流れる大河。,epic,location,water,50,60,55,70,スキル「清流」: 状態異常を解除,信濃川, 川, 風景, 新潟
柿の種,新潟発祥の国民的おやつ。ピリ辛でやみつきになる味。,epic,artifact,fire,40,30,60,85,スキル「ピリ辛」: 攻撃時火傷付与,柿の種, お菓子, 新潟, おつまみ
加茂水族館のクラゲ,幻想的に漂うクラゲ。その神秘的な姿は見る者を癒す。,epic,creature,water,35,50,25,65,スキル「癒しの光」: HP小回復,クラゲ, 水族館, 幻想的, 光
